Pitcher,Primary,Secondary,Chase Rate,xChase Rate
Chacín Jhoulys, SI, SL,27.6,27.691162
Chacín Jhoulys, SI, CU,27.5,27.343124
Chacín Jhoulys, SI, FF,23.3,23.037779
Chafin Andrew, SI, SL,44.9,44.44201
Chafin Andrew, SI, FF,17.8,17.83238
Chapman Aroldis, FF, SL,35.9,35.796703
Chapman Aroldis, FF, FS,25.6,25.581892
Chavez Jesse, FC, SI,12.5,12.950868
Chavez Jesse, FC, CH,38.4,38.304142
Cimber Adam, SL, FF,35.2,34.413116
Cimber Adam, SL, SI,34.1,34.34939
Cishek Steve, SL, FF,29.6,29.556688
Cishek Steve, SL, SI,22.7,22.81353
Civale Aaron, FC, CU,37.5,37.6302
Civale Aaron, FC, SI,21.6,22.103914
Civale Aaron, FC, FF,20.3,20.019974
Civale Aaron, FC, FS,17.6,18.339132
Clarke Taylor, FF, SL,34.0,33.99144
Clarke Taylor, FF, CH,28.8,29.152094
Clase Emmanuel, FC, SL,50.9,51.0727
Clevinger Mike, FF, SL,27.3,27.543741
Clevinger Mike, FF, FC,36.4,35.68908
Clevinger Mike, FF, CH,31.1,30.035727
Clevinger Mike, FF, SI,25.8,25.757143
Cobb Alex, FS, SI,15.7,15.864806
Cobb Alex, FS, KC,24.0,24.12809
Cole Gerrit, FF, SL,43.3,42.97132
Cole Gerrit, FF, KC,29.5,29.638927
Cole Gerrit, FF, CH,33.3,33.15802
Cole Gerrit, FF, FC,35.8,36.016373
Coleman Dylan, FF, SL,27.6,27.543098
Colomé Alex, FC, FF,18.8,18.75889
Contreras Roansy, FF, SL,42.2,42.079113
Contreras Roansy, FF, CU,28.0,28.13865
Corbin Patrick, SI, SL,34.8,34.902737
Corbin Patrick, SI, FF,17.0,17.168795
Corbin Patrick, SI, CH,30.1,29.823437
Cortes Jr. Néstor, FF, FC,37.4,36.674614
Cortes Jr. Néstor, FF, SL,23.6,23.455803
Cortes Jr. Néstor, FF, CH,32.7,32.969967
Cortes Jr. Néstor, FF, SI,22.5,22.63152
Cotton Jharel, FF, CH,39.3,38.875095
Cotton Jharel, FF, SL,3.1,3.0776486
Coulombe Danny, FF, SL,31.7,32.11146
Cousins Jake, SL, SI,30.3,30.369722
Crawford Kutter, FF, FC,39.2,39.094765
Crawford Kutter, FF, CU,27.2,26.947561
Crawford Kutter, FF, CH,18.9,18.962881
Crawford Kutter, FF, SL,26.2,26.087816
Crick Kyle, SL, SI,15.1,15.103685
Crismatt Nabil, CH, FF,12.9,13.125171
Crismatt Nabil, CH, CU,20.0,20.428698
Crowe Wil, SL, CH,36.8,36.565346
Crowe Wil, SL, SI,24.3,24.47595
Crowe Wil, SL, FF,31.5,30.813032
Cruz Jesús, FF, SL,36.2,36.038807
Cuas Jose, SI, SL,28.7,28.630064
