Pitcher,Primary,Secondary,Chase Rate,xChase Rate
Toussaint Touki, CU, SI,17.6,17.670816
Toussaint Touki, CU, FS,37.8,37.538464
Trivino Lou, SI, FF,19.0,18.875528
Trivino Lou, SI, SL,39.3,39.31725
Trivino Lou, SI, FC,27.8,27.073082
Trivino Lou, SI, CH,30.6,30.703909
Uceta Edwin, SI, CH,59.4,58.87376
Underwood Jr. Duane, SI, FC,26.4,26.335852
Underwood Jr. Duane, SI, CH,37.2,37.357353
Underwood Jr. Duane, SI, CU,29.4,28.91436
Underwood Jr. Duane, SI, FF,20.6,20.5834
Ureña José, SI, SL,23.2,23.548769
Ureña José, SI, CH,34.1,33.240864
Ureña José, SI, FF,20.0,19.691643
Urquidy José, FF, CH,38.1,37.746284
Urquidy José, FF, CU,21.1,21.095095
Urquidy José, FF, SL,35.1,34.73586
Urquidy José, FF, FC,18.0,18.023317
Urías Julio, FF, CU,32.5,32.278503
Urías Julio, FF, CH,36.3,35.949276
Valdez Framber, SI, CU,36.3,35.81366
Valdez Framber, SI, CH,27.9,28.39712
Valdez Framber, SI, FC,35.7,35.735546
Valdez Framber, SI, FF,17.9,18.043327
Valdez Phillips, CH, SI,19.4,19.363058
Velasquez Vince, FF, SL,25.5,25.893164
Velasquez Vince, FF, KC,28.4,28.309246
Velasquez Vince, FF, SI,6.4,8.247005
Velasquez Vince, FF, CH,34.1,33.370777
VerHagen Drew, SI, FF,21.2,21.390081
VerHagen Drew, SI, SL,29.4,29.265804
VerHagen Drew, SI, CH,33.3,33.067627
VerHagen Drew, SI, CU,21.4,21.434196
Verlander Justin, FF, SL,32.7,32.721848
Verlander Justin, FF, CU,24.8,24.87216
Vesia Alex, FF, SL,23.5,23.72756
Vespi Nick, FF, SL,40.9,39.862846
Vespi Nick, FF, CU,38.7,38.278
Vest Will, FF, SL,25.7,26.91316
Vest Will, FF, CH,25.9,26.80391
Vieaux Cam, FF, SL,10.7,12.011475
Voth Austin, FF, CU,21.5,21.743528
Voth Austin, FF, FC,36.1,36.182182
Wacha Michael, FF, CH,31.7,31.834398
Wacha Michael, FF, SI,38.3,37.86831
Wacha Michael, FF, FC,22.5,23.438372
Wacha Michael, FF, CU,14.9,15.0239
Wainwright Adam, CU, SI,16.3,16.404373
Wainwright Adam, CU, FC,30.5,30.496086
Wainwright Adam, CU, FF,20.0,19.838943
Wainwright Adam, CU, CH,17.8,17.874067
Walker Taijuan, FF, FS,43.7,43.610817
Walker Taijuan, FF, SL,24.2,24.208435
Walker Taijuan, FF, SI,42.4,42.196262
Walker Taijuan, FF, CU,16.4,16.354408
Walker Taijuan, FF, FC,19.4,19.318216
Wantz Andrew, FF, SL,24.4,24.639795
Wantz Andrew, FF, FC,27.0,27.506779
Warren Art, SL, FF,18.1,18.299726
Warren Austin, SL, FF,16.0,16.7459
Warren Austin, SL, SI,35.3,34.515244
Watkins Spenser, FF, FC,36.5,35.438213
Watkins Spenser, FF, SL,35.2,34.81367
Watkins Spenser, FF, CU,21.5,21.664568
Watkins Spenser, FF, CH,15.2,15.73221
Weaver Luke, FF, CH,46.5,46.217075
Webb Logan, SL, SI,17.6,17.7913
Webb Logan, SL, CH,39.9,39.669212
Webb Logan, SL, FF,24.0,24.131386
Weems Jordan, FF, SL,36.7,35.968372
Wells Tyler, FF, SL,34.3,34.004993
Wells Tyler, FF, CH,35.6,35.37909
Wells Tyler, FF, CU,20.3,20.611609
Wendelken J.B., FF, SL,26.2,25.953194
Wendelken J.B., FF, CH,38.3,37.359356
Wendelken J.B., FF, SI,30.0,29.875095
Wheeler Zack, FF, SL,30.3,30.729046
Wheeler Zack, FF, SI,50.5,49.93873
Wheeler Zack, FF, CU,30.9,30.920021
White Mitch, FF, SL,40.5,40.4786
White Mitch, FF, CU,23.3,23.329292
White Mitch, FF, SI,22.7,23.034523
Whitley Kodi, FF, CH,23.1,22.940062
Whitlock Garrett, SI, CH,34.8,34.84273
Whitlock Garrett, SI, SL,38.0,37.968266
Wick Rowan, FF, KC,28.2,28.118315
Wick Rowan, FF, FC,27.9,27.441418
Williams Devin, CH, FF,22.9,23.002537
Williams Trevor, FF, SL,32.7,32.556316
Williams Trevor, FF, CH,25.4,25.83043
Williams Trevor, FF, SI,41.7,40.121967
Williams Trevor, FF, CU,20.5,20.483162
Wilson Bryse, SI, FF,24.6,24.717789
Wilson Bryse, SI, SL,26.7,26.081203
Wilson Bryse, SI, CU,29.1,29.309004
Wilson Bryse, SI, CH,29.9,30.309568
Wilson Steven, FF, SL,35.0,34.901596
Winckowski Josh, SI, SL,27.0,26.98814
Winckowski Josh, SI, FF,28.3,27.565226
Winckowski Josh, SI, CH,28.2,28.351006
Winckowski Josh, SI, FC,32.6,31.72397
Winder Josh, FF, SL,35.4,35.329193
Winder Josh, FF, CH,33.3,32.887314
Winder Josh, FF, CU,14.6,14.862295
Wisler Matt, SL, FF,10.8,10.7498665
Wittgren Nick, FF, CH,36.1,35.652134
Wittgren Nick, FF, FC,26.7,26.753016
Wittgren Nick, FF, SI,18.2,18.02533
Wittgren Nick, FF, SL,9.4,11.375912
Wood Alex, SI, SL,38.7,38.61582
Wood Alex, SI, CH,34.1,34.093044
Woodford Jake, SI, SL,26.7,26.760508
Woodford Jake, SI, FF,20.0,20.018715
Woodruff Brandon, FF, SI,33.7,32.9646
Woodruff Brandon, FF, CH,40.4,38.757908
Woodruff Brandon, FF, CU,31.3,30.321964
Woodruff Brandon, FF, SL,20.0,21.200954
Wright Kyle, CU, FF,16.7,16.878345
Wright Kyle, CU, SI,31.5,31.435776
Wright Kyle, CU, CH,29.5,29.7532
Wright Kyle, CU, SL,10.3,10.764581
Yacabonis Jimmy, SI, SL,29.3,29.1884
Yajure Miguel, CH, FF,17.9,17.168747
Yarbrough Ryan, FC, CU,33.6,33.605564
Yarbrough Ryan, FC, CH,40.3,40.386536
Yarbrough Ryan, FC, SI,10.4,10.614501
Ynoa Huascar, FF, SL,7.7,7.6316404
Zimmermann Bruce, FF, CH,34.0,34.518383
Zimmermann Bruce, FF, SL,43.0,41.35875
Zimmermann Bruce, FF, CU,30.8,30.855816
Zimmermann Bruce, FF, SI,23.5,23.625761
deGrom Jacob, FF, SL,59.5,58.77529
Álvarez José, SI, CH,39.1,39.183685
