,,,,Pitches ,Zone,Swing,Contact,SwStr,CallStr,Foul,CSW,Whiff/Sw ,F-Strk,Putaway,Heart,Shadow,Chase,Waste
"Wendelken, J.B.'s CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,32,100.0%,87.5%,71.9%,18.8%,9.4%,34.4%,28.1%,21.4%,3.1%,45.5%,34.4%,112.5%,0.0%,0.0%
"Yajure, Miguel's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,32,100.0%,87.5%,81.3%,6.3%,12.5%,43.8%,18.8%,7.1%,25.0%,14.3%,31.3%,100.0%,0.0%,0.0%
"Yajure, Miguel's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,32,100.0%,59.4%,56.3%,3.1%,34.4%,21.9%,37.5%,5.3%,25.0%,10.0%,40.6%,106.3%,0.0%,0.0%
"Brigham, Jeff's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,31,100.0%,64.5%,58.1%,6.5%,35.5%,32.3%,41.9%,10.0%,35.5%,50.0%,48.4%,83.9%,0.0%,0.0%
"Cotton, Jharel's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,31,100.0%,41.9%,38.7%,3.2%,41.9%,22.6%,45.2%,7.7%,22.6%,0.0%,29.0%,96.8%,0.0%,0.0%
"Dugger, Robert's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,31,100.0%,58.1%,54.8%,3.2%,35.5%,32.3%,38.7%,5.6%,25.8%,100.0%,41.9%,103.2%,0.0%,0.0%
"Fleming, Josh's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,31,100.0%,74.2%,67.7%,6.5%,22.6%,35.5%,29.0%,8.7%,22.6%,40.0%,35.5%,122.6%,0.0%,0.0%
"Gibaut, Ian's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,31,100.0%,77.4%,61.3%,19.4%,22.6%,22.6%,41.9%,25.0%,19.4%,50.0%,45.2%,96.8%,0.0%,0.0%
"Gilbert, Tyler's FS",3065 pitches for 778 pitchers,Split-finger (FS),Pitcher Pitch,31,100.0%,83.9%,64.5%,19.4%,16.1%,16.1%,35.5%,23.1%,6.5%,42.9%,41.9%,103.2%,0.0%,0.0%
"Greene, Hunter's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,31,100.0%,64.5%,54.8%,9.7%,29.0%,35.5%,38.7%,15.0%,16.1%,0.0%,48.4%,90.3%,0.0%,0.0%
"Henry, Tommy's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,31,100.0%,83.9%,74.2%,9.7%,12.9%,29.0%,22.6%,11.5%,9.7%,20.0%,48.4%,64.5%,0.0%,0.0%
"Kirby, George's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,31,100.0%,58.1%,48.4%,9.7%,35.5%,16.1%,45.2%,16.7%,19.4%,62.5%,58.1%,67.7%,0.0%,0.0%
"Koenig, Jared's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,31,100.0%,64.5%,51.6%,12.9%,32.3%,19.4%,45.2%,20.0%,29.0%,33.3%,32.3%,103.2%,0.0%,0.0%
"Koenig, Jared's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,31,100.0%,77.4%,74.2%,3.2%,16.1%,32.3%,19.4%,4.2%,6.5%,0.0%,41.9%,71.0%,0.0%,0.0%
"Moreta, Dauri's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,31,100.0%,61.3%,41.9%,19.4%,35.5%,22.6%,54.8%,31.6%,29.0%,100.0%,45.2%,112.9%,0.0%,0.0%
"Naughton, Packy's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,31,100.0%,54.8%,45.2%,9.7%,45.2%,19.4%,54.8%,17.6%,35.5%,100.0%,35.5%,106.5%,0.0%,0.0%
"Payamps, Joel's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,31,100.0%,67.7%,64.5%,3.2%,32.3%,29.0%,35.5%,4.8%,25.8%,50.0%,54.8%,83.9%,0.0%,0.0%
"Pilkington, Konnor's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,31,100.0%,77.4%,61.3%,16.1%,19.4%,22.6%,35.5%,20.8%,29.0%,33.3%,54.8%,61.3%,0.0%,0.0%
"Severino, Luis's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,31,100.0%,41.9%,32.3%,9.7%,45.2%,3.2%,54.8%,23.1%,38.7%,80.0%,32.3%,145.2%,0.0%,0.0%
"Springs, Jeffrey's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,31,100.0%,54.8%,41.9%,16.1%,41.9%,22.6%,58.1%,29.4%,38.7%,25.0%,54.8%,93.5%,0.0%,0.0%
"Stephens, Jackson's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,31,100.0%,83.9%,71.0%,12.9%,16.1%,32.3%,29.0%,15.4%,16.1%,33.3%,32.3%,96.8%,0.0%,0.0%
"Taylor, Blake's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,31,100.0%,71.0%,54.8%,16.1%,22.6%,25.8%,38.7%,22.7%,32.3%,57.1%,51.6%,77.4%,0.0%,0.0%
"Uceta, Edwin's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,31,100.0%,83.9%,71.0%,12.9%,16.1%,35.5%,29.0%,15.4%,19.4%,16.7%,45.2%,109.7%,0.0%,0.0%
"Abbott, Cory's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,30,100.0%,80.0%,63.3%,16.7%,16.7%,26.7%,33.3%,20.8%,16.7%,50.0%,46.7%,96.7%,0.0%,0.0%
"Bañuelos, Manny's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,30,100.0%,46.7%,43.3%,6.7%,43.3%,33.3%,50.0%,14.3%,23.3%,25.0%,43.3%,80.0%,0.0%,0.0%
"Bard, Luke's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,30,100.0%,80.0%,60.0%,20.0%,20.0%,26.7%,40.0%,25.0%,33.3%,33.3%,43.3%,86.7%,0.0%,0.0%
"Bello, Brayan's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,30,100.0%,83.3%,56.7%,26.7%,13.3%,40.0%,40.0%,32.0%,30.0%,75.0%,66.7%,46.7%,0.0%,0.0%
"Cessa, Luis's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,30,100.0%,70.0%,60.0%,10.0%,26.7%,40.0%,36.7%,14.3%,33.3%,12.5%,26.7%,120.0%,0.0%,0.0%
"Clay, Sam's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,30,100.0%,53.3%,46.7%,6.7%,40.0%,16.7%,46.7%,12.5%,20.0%,66.7%,50.0%,96.7%,0.0%,0.0%
"De Jesus, Angel's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,30,100.0%,56.7%,40.0%,16.7%,30.0%,16.7%,46.7%,29.4%,23.3%,50.0%,30.0%,103.3%,0.0%,0.0%
"Fairbanks, Pete's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,30,100.0%,53.3%,50.0%,3.3%,46.7%,20.0%,50.0%,6.3%,30.0%,50.0%,63.3%,46.7%,0.0%,0.0%
"Ferguson, Caleb's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,30,100.0%,63.3%,60.0%,3.3%,30.0%,26.7%,33.3%,5.3%,23.3%,42.9%,46.7%,106.7%,0.0%,0.0%
"Goudeau, Ashton's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,30,100.0%,83.3%,73.3%,13.3%,10.0%,43.3%,23.3%,16.0%,6.7%,22.2%,43.3%,103.3%,0.0%,0.0%
"Helsley, Ryan's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,30,100.0%,43.3%,33.3%,10.0%,56.7%,20.0%,66.7%,23.1%,26.7%,50.0%,60.0%,80.0%,0.0%,0.0%
"Hernandez, Darwinzon's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,30,100.0%,66.7%,56.7%,10.0%,26.7%,23.3%,36.7%,15.0%,20.0%,20.0%,16.7%,100.0%,0.0%,0.0%
"Keller, Brad's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,30,100.0%,80.0%,73.3%,6.7%,16.7%,36.7%,23.3%,8.3%,13.3%,0.0%,50.0%,70.0%,0.0%,0.0%
"Keuchel, Dallas's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,30,100.0%,66.7%,60.0%,6.7%,33.3%,33.3%,40.0%,10.0%,30.0%,75.0%,26.7%,103.3%,0.0%,0.0%
"Lee, Evan's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,30,100.0%,63.3%,60.0%,3.3%,33.3%,40.0%,36.7%,5.3%,33.3%,40.0%,53.3%,90.0%,0.0%,0.0%
"Lowther, Zac's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,30,100.0%,60.0%,56.7%,3.3%,36.7%,13.3%,40.0%,5.6%,20.0%,16.7%,56.7%,66.7%,0.0%,0.0%
"Mayers, Mike's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,30,100.0%,70.0%,63.3%,6.7%,26.7%,30.0%,33.3%,9.5%,10.0%,0.0%,60.0%,76.7%,0.0%,0.0%
"Mayza, Tim's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,30,100.0%,86.7%,60.0%,26.7%,10.0%,26.7%,36.7%,30.8%,10.0%,43.8%,33.3%,103.3%,0.0%,0.0%
"Middleton, Keynan's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,30,100.0%,70.0%,50.0%,20.0%,26.7%,20.0%,46.7%,28.6%,13.3%,50.0%,46.7%,96.7%,0.0%,0.0%
"Misiewicz, Anthony's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,30,100.0%,70.0%,50.0%,20.0%,26.7%,20.0%,46.7%,28.6%,16.7%,150.0%,60.0%,86.7%,0.0%,0.0%
"Senzatela, Antonio's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,30,100.0%,63.3%,56.7%,6.7%,36.7%,26.7%,43.3%,10.5%,26.7%,114.3%,63.3%,86.7%,0.0%,0.0%
"Vizcaíno, Arodys's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,30,100.0%,76.7%,70.0%,6.7%,20.0%,30.0%,26.7%,8.7%,20.0%,0.0%,56.7%,70.0%,0.0%,0.0%
"Woodford, Jake's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,30,100.0%,83.3%,63.3%,20.0%,16.7%,46.7%,36.7%,24.0%,26.7%,33.3%,46.7%,100.0%,0.0%,0.0%
"Bañuelos, Manny's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,29,100.0%,58.6%,48.3%,10.3%,41.4%,37.9%,51.7%,17.6%,51.7%,75.0%,48.3%,110.3%,0.0%,0.0%
"Bañuelos, Manny's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,29,100.0%,79.3%,69.0%,10.3%,17.2%,31.0%,27.6%,13.0%,10.3%,44.4%,44.8%,89.7%,0.0%,0.0%
"Blanco, Ronel's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,29,100.0%,86.2%,65.5%,24.1%,13.8%,41.4%,37.9%,28.0%,31.0%,50.0%,48.3%,69.0%,0.0%,0.0%
"Bleier, Richard's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,29,100.0%,55.2%,44.8%,10.3%,44.8%,24.1%,55.2%,18.8%,48.3%,62.5%,65.5%,75.9%,0.0%,0.0%
"Cano, Yennier's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,29,100.0%,72.4%,55.2%,17.2%,24.1%,31.0%,41.4%,23.8%,17.2%,72.7%,27.6%,106.9%,0.0%,0.0%
"Devenski, Chris's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,29,100.0%,62.1%,62.1%,3.4%,31.0%,31.0%,34.5%,5.6%,31.0%,14.3%,37.9%,86.2%,0.0%,0.0%
"Dugger, Robert's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,29,100.0%,65.5%,62.1%,6.9%,34.5%,31.0%,41.4%,10.5%,13.8%,81.8%,55.2%,89.7%,0.0%,0.0%
"Gray, Jon's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,29,100.0%,51.7%,44.8%,10.3%,41.4%,17.2%,51.7%,20.0%,44.8%,100.0%,55.2%,82.8%,0.0%,0.0%
"Griffin, Foster's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,29,100.0%,58.6%,44.8%,13.8%,31.0%,10.3%,44.8%,23.5%,20.7%,33.3%,48.3%,58.6%,0.0%,0.0%
"Gsellman, Robert's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,29,100.0%,69.0%,55.2%,24.1%,27.6%,6.9%,51.7%,35.0%,24.1%,50.0%,41.4%,96.6%,0.0%,0.0%
"Hernández, Carlos's FS",3065 pitches for 778 pitchers,Split-finger (FS),Pitcher Pitch,29,100.0%,75.9%,55.2%,20.7%,17.2%,17.2%,37.9%,27.3%,17.2%,50.0%,41.4%,89.7%,0.0%,0.0%
"Martin, Corbin's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,29,100.0%,58.6%,48.3%,13.8%,37.9%,24.1%,51.7%,23.5%,34.5%,125.0%,51.7%,124.1%,0.0%,0.0%
"Means, John's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,29,100.0%,79.3%,75.9%,3.4%,17.2%,48.3%,20.7%,4.3%,24.1%,33.3%,41.4%,96.6%,0.0%,0.0%
"Medina, Adonis's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,29,100.0%,62.1%,44.8%,20.7%,37.9%,24.1%,58.6%,33.3%,24.1%,33.3%,51.7%,58.6%,0.0%,0.0%
"Paredes, Enoli's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,29,100.0%,65.5%,55.2%,10.3%,24.1%,34.5%,34.5%,15.8%,20.7%,33.3%,37.9%,75.9%,0.0%,0.0%
"Peralta, Wandy's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,29,100.0%,79.3%,51.7%,27.6%,17.2%,17.2%,44.8%,34.8%,17.2%,160.0%,34.5%,113.8%,0.0%,0.0%
"Ray, Robbie's KC",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,29,100.0%,44.8%,41.4%,6.9%,48.3%,13.8%,55.2%,15.4%,37.9%,0.0%,58.6%,75.9%,0.0%,0.0%
"Rogers, Josh's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,29,100.0%,69.0%,65.5%,3.4%,27.6%,31.0%,31.0%,5.0%,17.2%,0.0%,69.0%,65.5%,0.0%,0.0%
"Romero, Jhon's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,29,100.0%,72.4%,65.5%,13.8%,24.1%,37.9%,37.9%,19.0%,31.0%,44.4%,48.3%,75.9%,0.0%,0.0%
"Sánchez, Aníbal's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,29,100.0%,58.6%,41.4%,17.2%,31.0%,20.7%,48.3%,29.4%,27.6%,25.0%,41.4%,96.6%,0.0%,0.0%
"Snead, Kirby's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,29,100.0%,58.6%,44.8%,17.2%,31.0%,20.7%,48.3%,29.4%,6.9%,60.0%,44.8%,96.6%,0.0%,0.0%
"Steckenrider, Drew's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,29,100.0%,79.3%,62.1%,17.2%,17.2%,24.1%,34.5%,21.7%,17.2%,33.3%,41.4%,93.1%,0.0%,0.0%
"Tapia, Domingo's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,29,100.0%,69.0%,65.5%,3.4%,27.6%,48.3%,31.0%,5.0%,17.2%,18.2%,41.4%,82.8%,0.0%,0.0%
"Thompson, Ryan's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,29,100.0%,93.1%,72.4%,20.7%,6.9%,27.6%,27.6%,22.2%,3.4%,27.3%,65.5%,69.0%,0.0%,0.0%
"Toussaint, Touki's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,29,100.0%,58.6%,48.3%,10.3%,37.9%,24.1%,48.3%,17.6%,27.6%,160.0%,48.3%,96.6%,0.0%,0.0%
"VanMeter, Josh's FA",3065 pitches for 778 pitchers,Other Pitch,Pitcher Pitch,29,100.0%,82.8%,79.3%,3.4%,17.2%,20.7%,20.7%,4.2%,10.3%,0.0%,51.7%,93.1%,0.0%,0.0%
"Velasquez, Vince's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,29,100.0%,79.3%,55.2%,24.1%,20.7%,20.7%,44.8%,30.4%,13.8%,50.0%,37.9%,120.7%,0.0%,0.0%
"Williams, Trevor's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,29,100.0%,55.2%,48.3%,6.9%,44.8%,24.1%,51.7%,12.5%,48.3%,100.0%,58.6%,72.4%,0.0%,0.0%
"Yacabonis, Jimmy's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,29,100.0%,69.0%,65.5%,3.4%,24.1%,31.0%,27.6%,5.0%,13.8%,50.0%,69.0%,82.8%,0.0%,0.0%
"Beasley, Jeremy's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,28,100.0%,46.4%,35.7%,10.7%,53.6%,14.3%,64.3%,23.1%,42.9%,62.5%,46.4%,82.1%,0.0%,0.0%
"Bieber, Shane's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,28,100.0%,60.7%,53.6%,7.1%,39.3%,10.7%,46.4%,11.8%,42.9%,0.0%,39.3%,100.0%,0.0%,0.0%
"Cease, Dylan's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,28,100.0%,82.1%,46.4%,35.7%,17.9%,7.1%,53.6%,43.5%,21.4%,63.6%,53.6%,89.3%,0.0%,0.0%
"Diplán, Marcos's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,28,100.0%,67.9%,57.1%,14.3%,32.1%,39.3%,46.4%,21.1%,21.4%,50.0%,60.7%,92.9%,0.0%,0.0%
"Elías, Roenis's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,28,100.0%,75.0%,71.4%,3.6%,21.4%,35.7%,25.0%,4.8%,28.6%,40.0%,50.0%,78.6%,0.0%,0.0%
"Hill, Garrett's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,28,100.0%,71.4%,57.1%,14.3%,25.0%,21.4%,39.3%,20.0%,10.7%,25.0%,42.9%,92.9%,0.0%,0.0%
"Jefferies, Daulton's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,28,100.0%,75.0%,57.1%,17.9%,25.0%,17.9%,42.9%,23.8%,35.7%,50.0%,46.4%,89.3%,0.0%,0.0%
"King, Michael's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,28,100.0%,64.3%,32.1%,32.1%,32.1%,7.1%,64.3%,50.0%,21.4%,142.9%,32.1%,100.0%,0.0%,0.0%
"López, Jorge's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,28,100.0%,85.7%,64.3%,28.6%,14.3%,42.9%,42.9%,33.3%,21.4%,22.2%,60.7%,60.7%,0.0%,0.0%
"McFarland, T.J.'s SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,28,100.0%,60.7%,60.7%,0.0%,32.1%,17.9%,32.1%,0.0%,25.0%,28.6%,39.3%,103.6%,0.0%,0.0%
"Misiewicz, Anthony's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,28,100.0%,75.0%,71.4%,3.6%,21.4%,21.4%,25.0%,4.8%,17.9%,36.4%,53.6%,85.7%,0.0%,0.0%
"Pop, Zach's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,28,100.0%,53.6%,46.4%,7.1%,25.0%,17.9%,32.1%,13.3%,17.9%,23.1%,35.7%,78.6%,0.0%,0.0%
"Robles, Hansel's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,28,100.0%,82.1%,71.4%,10.7%,17.9%,17.9%,28.6%,13.0%,10.7%,33.3%,50.0%,92.9%,0.0%,0.0%
"Small, Ethan's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,28,100.0%,60.7%,39.3%,21.4%,35.7%,17.9%,57.1%,35.3%,21.4%,60.0%,50.0%,67.9%,0.0%,0.0%
"Stout, Eric's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,28,100.0%,64.3%,46.4%,17.9%,32.1%,21.4%,50.0%,27.8%,25.0%,100.0%,64.3%,67.9%,0.0%,0.0%
"Strzelecki, Peter's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,28,100.0%,57.1%,39.3%,21.4%,42.9%,17.9%,64.3%,37.5%,32.1%,50.0%,39.3%,92.9%,0.0%,0.0%
"Suarez, Robert's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,28,100.0%,85.7%,60.7%,25.0%,7.1%,35.7%,32.1%,29.2%,7.1%,75.0%,32.1%,121.4%,0.0%,0.0%
"Thompson, Keegan's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,28,100.0%,71.4%,53.6%,17.9%,25.0%,25.0%,42.9%,25.0%,0.0%,33.3%,35.7%,142.9%,0.0%,0.0%
"Toussaint, Touki's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,28,100.0%,53.6%,50.0%,3.6%,42.9%,14.3%,46.4%,6.7%,10.7%,100.0%,39.3%,121.4%,0.0%,0.0%
"White, Mitch's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,28,100.0%,75.0%,75.0%,3.6%,25.0%,28.6%,28.6%,4.8%,10.7%,25.0%,53.6%,103.6%,0.0%,0.0%
"Wittgren, Nick's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,28,100.0%,71.4%,67.9%,3.6%,25.0%,32.1%,28.6%,5.0%,28.6%,20.0%,50.0%,82.1%,0.0%,0.0%
"Baz, Shane's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,27,100.0%,59.3%,51.9%,7.4%,25.9%,22.2%,33.3%,12.5%,7.4%,62.5%,55.6%,85.2%,0.0%,0.0%
"Bielak, Brandon's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,27,100.0%,48.1%,48.1%,0.0%,40.7%,25.9%,40.7%,0.0%,14.8%,28.6%,44.4%,81.5%,0.0%,0.0%
"Buehler, Walker's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,27,100.0%,81.5%,74.1%,7.4%,18.5%,33.3%,25.9%,9.1%,25.9%,100.0%,51.9%,74.1%,0.0%,0.0%
"Dugger, Robert's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,27,100.0%,55.6%,51.9%,3.7%,44.4%,22.2%,48.1%,6.7%,14.8%,42.9%,48.1%,85.2%,0.0%,0.0%
"Foster, Matt's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,27,100.0%,63.0%,51.9%,11.1%,29.6%,25.9%,40.7%,17.6%,18.5%,66.7%,37.0%,88.9%,0.0%,0.0%
"Foster, Matt's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,27,100.0%,63.0%,63.0%,0.0%,29.6%,22.2%,29.6%,0.0%,33.3%,33.3%,48.1%,77.8%,0.0%,0.0%
"Ginkel, Kevin's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,27,100.0%,37.0%,29.6%,7.4%,59.3%,11.1%,66.7%,20.0%,22.2%,50.0%,63.0%,63.0%,0.0%,0.0%
"Loáisiga, Jonathan's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,27,100.0%,63.0%,59.3%,3.7%,37.0%,29.6%,40.7%,5.9%,33.3%,120.0%,51.9%,107.4%,0.0%,0.0%
"Logue, Zach's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,27,100.0%,85.2%,77.8%,7.4%,14.8%,18.5%,22.2%,8.7%,3.7%,40.0%,18.5%,129.6%,0.0%,0.0%
"Márquez, Germán's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,27,100.0%,63.0%,63.0%,11.1%,33.3%,18.5%,44.4%,17.6%,11.1%,100.0%,25.9%,122.2%,0.0%,0.0%
"Minaya, Juan's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,27,100.0%,74.1%,66.7%,7.4%,18.5%,22.2%,25.9%,10.0%,11.1%,100.0%,29.6%,114.8%,0.0%,0.0%
"Nance, Tommy's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,27,100.0%,55.6%,40.7%,14.8%,40.7%,22.2%,55.6%,26.7%,18.5%,100.0%,63.0%,77.8%,0.0%,0.0%
"Peacock, Matt's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,27,100.0%,81.5%,70.4%,11.1%,18.5%,25.9%,29.6%,13.6%,18.5%,30.0%,48.1%,88.9%,0.0%,0.0%
"Perez, Francisco's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,27,100.0%,63.0%,55.6%,7.4%,25.9%,48.1%,33.3%,11.8%,14.8%,25.0%,33.3%,85.2%,0.0%,0.0%
"Peterson, David's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,27,100.0%,51.9%,40.7%,11.1%,44.4%,18.5%,55.6%,21.4%,59.3%,33.3%,40.7%,88.9%,0.0%,0.0%
"Poteet, Cody's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,27,100.0%,81.5%,66.7%,14.8%,18.5%,25.9%,33.3%,18.2%,22.2%,0.0%,63.0%,74.1%,0.0%,0.0%
"Rosenberg, Kenny's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,27,100.0%,88.9%,74.1%,18.5%,7.4%,33.3%,25.9%,20.8%,7.4%,60.0%,48.1%,114.8%,0.0%,0.0%
"Ryu, Hyun Jin's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,27,100.0%,88.9%,88.9%,0.0%,7.4%,33.3%,7.4%,0.0%,3.7%,16.7%,33.3%,103.7%,0.0%,0.0%
"Williams, Trevor's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,27,100.0%,77.8%,74.1%,3.7%,22.2%,29.6%,25.9%,4.8%,7.4%,71.4%,25.9%,159.3%,0.0%,0.0%
"Ynoa, Huascar's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,27,100.0%,66.7%,51.9%,14.8%,33.3%,11.1%,48.1%,22.2%,14.8%,58.3%,55.6%,63.0%,0.0%,0.0%
