,,,,Pitches ,Zone,Swing,Contact,SwStr,CallStr,Foul,CSW,Whiff/Sw ,F-Strk,Putaway,Heart,Shadow,Chase,Waste
"Cortes Jr., Néstor's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,436,100.0%,69.3%,56.2%,15.1%,27.1%,30.7%,42.2%,21.9%,22.2%,43.2%,47.0%,82.3%,0.0%,0.0%
"Lyles, Jordan's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,435,100.0%,67.8%,59.8%,10.1%,29.9%,27.6%,40.0%,14.9%,22.1%,29.3%,51.5%,71.0%,0.0%,0.0%
"Bumgarner, Madison's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,433,100.0%,78.5%,68.8%,10.2%,19.2%,34.4%,29.3%,12.9%,11.8%,32.8%,51.0%,82.0%,0.0%,0.0%
"Bubic, Kris's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,429,100.0%,68.5%,58.7%,11.9%,26.8%,29.8%,38.7%,17.3%,15.9%,31.8%,48.5%,80.9%,0.0%,0.0%
"Lauer, Eric's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,428,100.0%,69.6%,55.8%,18.2%,25.7%,32.5%,43.9%,26.2%,18.2%,43.9%,52.3%,82.5%,0.0%,0.0%
"Nola, Aaron's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,423,100.0%,64.8%,53.4%,13.9%,32.2%,31.2%,46.1%,21.5%,26.5%,46.3%,48.7%,82.5%,0.0%,0.0%
"Gore, MacKenzie's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,418,100.0%,72.5%,62.9%,11.0%,25.6%,33.3%,36.6%,15.2%,21.3%,35.3%,47.6%,80.6%,0.0%,0.0%
"Quantrill, Cal's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,418,100.0%,67.5%,62.0%,6.7%,29.2%,30.1%,35.9%,9.9%,26.1%,24.8%,50.0%,91.1%,0.0%,0.0%
"Suárez, Ranger's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,416,100.0%,59.6%,56.0%,5.8%,37.3%,24.3%,43.0%,9.7%,22.4%,30.9%,46.2%,79.1%,0.0%,0.0%
"Gray, Josiah's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,415,100.0%,67.7%,59.5%,9.9%,28.0%,30.6%,37.8%,14.6%,21.7%,25.7%,48.4%,81.0%,0.0%,0.0%
"Dunning, Dane's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,414,100.0%,53.6%,50.2%,4.3%,41.3%,18.1%,45.7%,8.1%,21.0%,38.4%,51.7%,81.6%,0.0%,0.0%
"Montgomery, Jordan's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,410,100.0%,62.9%,56.1%,8.3%,33.7%,23.2%,42.0%,13.2%,22.4%,37.9%,50.5%,76.1%,0.0%,0.0%
"Corbin, Patrick's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,407,100.0%,72.7%,66.8%,7.4%,25.3%,30.2%,32.7%,10.1%,17.2%,32.0%,52.6%,81.6%,0.0%,0.0%
"Morton, Charlie's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,405,100.0%,72.3%,61.5%,14.3%,22.2%,30.4%,36.5%,19.8%,14.6%,38.1%,51.4%,76.8%,0.0%,0.0%
"Anderson, Tyler's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,404,100.0%,63.6%,56.2%,8.9%,32.2%,32.9%,41.1%,14.0%,31.4%,28.6%,48.5%,72.5%,0.0%,0.0%
"Cease, Dylan's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,404,100.0%,68.1%,53.2%,15.8%,27.7%,32.7%,43.6%,23.3%,20.0%,38.9%,43.1%,93.8%,0.0%,0.0%
"Bassitt, Chris's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,403,100.0%,55.8%,48.4%,8.2%,40.7%,19.1%,48.9%,14.7%,24.6%,41.2%,56.6%,68.2%,0.0%,0.0%
"Kirby, George's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,403,100.0%,74.9%,58.6%,19.1%,22.1%,34.0%,41.2%,25.5%,25.8%,45.4%,52.4%,69.2%,0.0%,0.0%
"Thompson, Keegan's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,403,100.0%,62.0%,54.6%,10.2%,34.5%,26.3%,44.7%,16.4%,22.8%,41.8%,55.8%,71.0%,0.0%,0.0%
"Plesac, Zach's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,400,100.0%,67.3%,59.5%,9.3%,29.3%,32.0%,38.5%,13.8%,28.8%,15.4%,48.8%,85.5%,0.0%,0.0%
"Bieber, Shane's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,398,100.0%,59.0%,53.0%,7.0%,37.9%,23.1%,45.0%,11.9%,27.9%,35.1%,50.0%,77.9%,0.0%,0.0%
"Ashcraft, Graham's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,397,100.0%,67.0%,60.2%,7.3%,29.5%,26.4%,36.8%,10.9%,21.7%,22.7%,48.4%,78.8%,0.0%,0.0%
"Gomber, Austin's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,396,100.0%,65.9%,59.6%,6.6%,29.5%,31.3%,36.1%,10.0%,25.8%,27.1%,52.0%,78.0%,0.0%,0.0%
"Scherzer, Max's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,396,100.0%,71.2%,57.8%,15.9%,27.3%,29.8%,43.2%,22.3%,21.7%,41.0%,45.5%,79.3%,0.0%,0.0%
"Brubaker, JT's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,395,100.0%,60.8%,55.7%,6.3%,34.4%,22.3%,40.8%,10.4%,23.5%,35.2%,50.6%,87.8%,0.0%,0.0%
"Flexen, Chris's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,390,100.0%,66.2%,59.2%,7.9%,30.0%,27.9%,37.9%,12.0%,26.4%,31.3%,47.4%,85.1%,0.0%,0.0%
"Severino, Luis's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,387,100.0%,75.2%,61.2%,15.2%,21.7%,35.4%,37.0%,20.3%,24.0%,27.0%,53.2%,71.3%,0.0%,0.0%
"Snell, Blake's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,384,100.0%,65.9%,56.0%,12.0%,29.7%,33.9%,41.7%,18.2%,22.9%,29.3%,45.6%,88.0%,0.0%,0.0%
"Kuhl, Chad's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,381,100.0%,59.1%,54.3%,5.2%,35.4%,21.3%,40.7%,8.9%,27.8%,6.5%,49.6%,80.6%,0.0%,0.0%
"Kikuchi, Yusei's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,379,100.0%,63.1%,48.5%,17.2%,32.5%,28.0%,49.6%,27.2%,27.4%,42.5%,50.7%,81.0%,0.0%,0.0%
"McClanahan, Shane's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,377,100.0%,71.1%,56.5%,17.8%,25.7%,28.9%,43.5%,25.0%,22.0%,41.1%,48.0%,81.4%,0.0%,0.0%
"Gonsolin, Tony's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,376,100.0%,68.6%,60.4%,10.4%,28.5%,31.1%,38.8%,15.1%,23.7%,25.6%,49.2%,81.4%,0.0%,0.0%
"Cobb, Alex's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,375,100.0%,52.8%,48.0%,5.9%,42.4%,22.9%,48.3%,11.1%,25.6%,50.9%,54.1%,76.8%,0.0%,0.0%
